Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
007-000000178,15,7,Department of Defense,DEFENSE ENTERPRISE ACCOUNTING AND MANAGEMENT SYSTEM,2577,P0178-121,Increment 2,Full accounting for Air Force Material Command and Air Force Space Command.  Provide Design/Development/Test of the system.,01/04/2010,30/08/2017,,,127.2,0,0,0,0,65.1,65.1,26/10/2011,08:43:38,P0178-121
007-000000186,16,7,Department of Defense,NAVY ENTERPRISE RESOURCE PLANNING (ERP),2578,P0186-101,Navy ERP Implementation/Deployment,This project includes all of the remaining Navy ERP Deployments:Naval Supply Systems Command (NAVSUP) (Phase II - Fleet Logistics Centers and Partner Sites) Strategic Systems Program (SSP)Office of Naval Research (ONR)Naval Sea Systems (NAVSEA) Command Navy Working Capital Fund (NWCF).,01/10/2010,31/03/2013,31/03/2013,31/03/2013,74.641,0,0,4.434,5.94,74.64,70.206,20/07/2012,06:14:23,P0186-101
007-000000057,17,7,Department of Defense,MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2572,P0057-103,Block Cycle (BC) 1 for MIDS-JTRS,Complete the development and begin implementaiton of MIDS JTRS Block Cycle 1 which incorporates NSA mandated Crypto Modernization as well as high priority Problem Report (PR) fixes.,16/09/2011,15/05/2013,15/05/2013,15/05/2013,26,0,0,5.988,23.03,26,20.012,11/01/2012,08:35:32,P0057-103
007-000000057,17,7,Department of Defense,MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2573,P0057-104,Block Upgrade 2 for MIDS-LVT,"Full development of Block Upgrade 2 for MIDS-LVT Terminals to include NSA mandated Crypto Modernization, Department of Transportation mandated Frequency Remapping, Enhanced Throughput and associated hardware updates to incorporate these updates.",03/09/2012,30/09/2015,,,104,0,0,38.4,100,38.4,0,26/10/2011,08:43:36,P0057-104
007-000000057,17,7,Department of Defense,MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM,2574,P0057-105,MIDS JTRS Sustainment,Sustainment of MIDS JTRS as it reaches its Full Production and Fielding and Initial Operational Capability (IOC) decisions.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,14.457,0,0,11.357,78.56,14.457,3.1,23/02/2012,10:30:15,P0057-105
007-000000192,18,7,Department of Defense,Product Tailoring Warfighter Applications,2579,P0192-101,Joint Environmental Toolkit (JET),"Joint Environmental Toolkit (JET) is the name of the system that will support the Product Tailoring Warfighter Applications (PTWA) program.  JET is an environmental data collection and processing project that facilitates the construction of mission-tailored products for military operations worldwide and provides continuous aerospace and ground weather support to DoD operational customers. Data and products are provided to warfighters and warfighter support activities at all levels (strategic, operational, and tactical) of DoD operations with environmental data critical to combat operations involving both Air Force and Army assets.  JET will provide the capability for users to create, access, modify, and transmit mission-critical environmental data among users and between users and operational customers. JET supports the AF core capabilities of Counterair, Counterspace, Counterland, Countersea, Strategic Attack, Counter Information, Command and Control, Airlift, Air Refueling, Spacelift, Special Operations Employment, Intelligence, Surveillance, Reconnaissance, Combat Search and Rescue, Navigation and Positioning with worldwide environmental data collection and formatting for warfighters and warfighter support activities.  It will also support the Army core capabilities of Aviation, Air Defense, Ammunition, Post Support, Close Combat (Heavy and Light), Deep Strike Operations, Rear Strike Operations, Combat Support; Combat Service Support; Analysis Control Element, Intelligence Preparation of the Battlefield, Mission Planning and Rehearsal, Air Assault, Airborne Operations, Maneuver, Targeting, Terrain Analysis, Battlefield Visualization, Tactical Unmanned Aerial Vehicle Operations, Split-Based & Force Projection Operations, Military Operations Other Than War, Logistics, Space; Command, Control, Communications, and Computers; Engineering, Mine Warfare, Fire Support, Intelligence and Electronic Warfare; Nuclear; Biological, and Chemical Warfare; Land Combat Engineering Support, Special Operations, Technical Base/Post Training, Test and Evaluation. There are no known agency performance gaps.  With the successful completion of Increment 1, Service Pack 2, the user is currently decommissioning one of their legacy systems - NTFS. Increment 2 is scheduled to be fielded starting in Feb 2012; IOC will be reached with the delivery of the first OWS in Spring 2012. Increment 2 will consolidate all JET servers and another legacy system, OPS II, will be decommissioned.",28/03/2006,31/07/2015,24/07/2012,24/07/2012,221.9,-38,-2.26,0,0,57.496,57.496,15/03/2012,12:31:58,P0192-101
007-000000314,19,7,Department of Defense,GENERAL FUND ENTERPRISE BUSINESS SYSTEM,2580,P0314-101,Project Manager General Fund Enterprise Business System (PM GFEBS),"GFEBS will become the Department of the Army''s new core financial management system for administering its General Fund to improve performance, standardize processes and ensure it can meet future needs.  GFEBS shall be capable of supporting DoD with accurate, reliable, and timely financial information, in peacetime and in war.  GFEBS is a commercial off-the-shelf Enterprise Resource Planning system certified by the Chief Financial Officer''s Council (CFOC), providing the six core financial functions (United States General Ledger (USGL), Cost Management, Funds Control, Payable Management, Receivable Management and Reports).  Reports will allow senior leaders to make informed decisions on a real time system and supports the Future Force transition path of the Army Campaign Plan.",24/06/2005,31/12/2021,30/09/2012,30/09/2012,1361.265,0,0,0.19,0.06,327.894,327.704,15/03/2012,12:31:58,P0314-101
007-000000342,20,7,Department of Defense,"Joint Tactical Radio System (JTRS) - HANDHELD, MANPACK, AND SMALL FORM FIT RADIOS (HMS)",2581,P0342-101,System Development and Demonstration - HMS post-Spiral 1 development to initial decision (Milestone C).,The contracting activity development completion planned in FY11.  The final Integrated Operational Test and Evaluation will occur in FY12.,16/07/2004,31/12/2015,,,1211.853,0,0,1027.653,100,1027.653,0,26/10/2011,08:43:41,P0342-101
007-000000342,20,7,Department of Defense,"Joint Tactical Radio System (JTRS) - HANDHELD, MANPACK, AND SMALL FORM FIT RADIOS (HMS)",2582,P0342-102,Low Rate Initial Production (LRIP) - LRIP will begin in FY11 and continue through FY14.,"HMS radios are divided into 2 phases with two 1-year LRIP options per phase.  Phase 1 LRIP will produce 14,592 radios and Phase 2 LRIP will produce 4,782 radios.",29/07/2011,30/09/2012,,,503.471,0,0,503.471,100,503.471,0,26/10/2011,08:43:41,P0342-102
007-000000342,20,7,Department of Defense,"Joint Tactical Radio System (JTRS) - HANDHELD, MANPACK, AND SMALL FORM FIT RADIOS (HMS)",2583,P0342-104,Operations and Support (O&S) during the production phase of the program.,To support those radios that have been in the field.,15/12/2011,30/09/2025,,,6462.761,0,0,74.784,100,74.784,0,26/10/2011,08:43:41,P0342-104
007-000000483,22,7,Department of Defense,EXPEDITIONARY COMBAT SUPPORT SYSTEM,2584,P0483-103,Increment 1: Pilot B,Base Equipment Management.,30/09/2009,15/10/2011,15/10/2011,15/10/2011,134.182,-321,-102.88,0,0,45.755,45.755,26/10/2011,08:56:47,P0483-103
007-000000483,22,7,Department of Defense,EXPEDITIONARY COMBAT SUPPORT SYSTEM,2585,P0483-104,Increment 1: Pilot C,Base Materiel and Equipment Management.,30/09/2009,15/06/2012,,,428.268,-77,-7.79,0,0,428.268,428.268,26/10/2011,08:56:47,P0483-104
007-000000510,25,7,Department of Defense,EXECUTIVE INFORMATION/DECISION SUPPORT,2586,P0510-101,EI/DS enhancements,"EI/DS provides centralized collection, storage and availability of data, in various data marts, to managers, clinicians, and analysts for the management of the business of health care. This data includes inpatient dispositions, outpatient encounters, laboratory, radiology, and pharmacy workload, TRICARE network patient encounter records, TRICARE mail order pharmacy patient encounter records, beneficiary demographics, MTF workload and cost information, eligibility and enrollment, Pharmacy Data Transaction Service data, customer satisfaction surveys, and data associated with the Wounded Warrior project. The Military Health System Data Repository (MDR) is the centralized data repository for the Department of Defense Military Health System (MHS) that captures, validates, and distributes health network data worldwide.This project is to expand visibility of forecasting data within the MDR application and to develop data feed in support of service agencies.",03/10/2011,29/06/2013,,,5.716,-93,-19.1,0,0,5.716,5.716,20/07/2012,06:14:24,P0510-101
007-000000594,26,7,Department of Defense,DEFENSE INFORMATION SYSTEM FOR SECURITY,2587,P0594-101,Case Adjudication Tracking System Single Code Base,This project involves developing a single code base for the Case Adjudication Tracking System (CATS).,01/01/2010,31/12/2012,,,12.117,0,0,0,0,6.55,6.55,26/10/2011,08:56:48,P0594-101
007-000000594,26,7,Department of Defense,DEFENSE INFORMATION SYSTEM FOR SECURITY,2588,P0594-102,Deploy Automated Continuing Evaluation System Releases,Deploy functionality to further enhance records check automation.,01/02/2009,30/09/2013,,,13.05,0,0,0,0,3.871,3.871,26/10/2011,08:56:48,P0594-102
007-000000594,26,7,Department of Defense,DEFENSE INFORMATION SYSTEM FOR SECURITY,2589,P0594-103,DISS Family of Systems (FoS),The DISS FoS will replace the Joint Personnel Adjudication System (JPAS) as the automated DoD security clearance tool.,18/10/2011,31/12/2014,,,40,0,0,0,0,19,19,26/10/2011,08:56:48,P0594-103
007-000000595,27,7,Department of Defense,DEFENSE INFORMATION SYSTEM NETWORK,2590,P0595-102,DISN Technology Refreshment (LETR/0300),DISN Tech Refresh Definition.,01/11/2007,30/09/2017,,,717.945,0,0,0.001,0,113.975,113.974,27/04/2012,09:58:24,P0595-102
007-000000595,27,7,Department of Defense,DEFENSE INFORMATION SYSTEM NETWORK,2591,P0595-103,DISN TECHNOLOGY REFRESHMENT (LETR/0400),"DISN Technology Refresh plans, purchases, and implements replacements for end of life (EOL) components of the DISN and DISN-supported systems.",01/10/2007,30/09/2017,,,37.845,-153,-16.79,0,0,7.4,7.4,30/01/2012,13:41:15,P0595-103
007-000000595,27,7,Department of Defense,DEFENSE INFORMATION SYSTEM NETWORK,2592,P0595-104,PRESIDENTIAL AND NATIONAL VOICE CONFERENCING (PNVC)(LENP/0400),"Presidential and National Voice Conferencing (PNVC) is the AEHF survivable SATCOM voice conferencing (SSVC) system that provides a near toll-quality voice conferencing capability to the President and other senior national/military leaders anywhere in the world.   PNVC activities include program management, system engineering, development, integration, installation, and testing of new baseband (audio-summing, cryptographic, and voice encoder/decoder) equipment.",01/10/2008,30/09/2017,,,68.964,0,0,0,0,6.255,6.255,26/10/2011,08:56:49,P0595-104
007-000000595,27,7,Department of Defense,DEFENSE INFORMATION SYSTEM NETWORK,2593,P0595-105,DEFENSE RED SWITCH NETWORK (DRSN) (LE4C/0400),"Defense Red Switch Network provides Multi-Level secure voice calling and conferencing for DoD and other Federal Departments including gateway interfaces to other secure voice systems. Secure Voice switches are special purpose government only systems, not commercial products.",01/10/2009,30/09/2017,,,16.924,0,0,0,0,3.798,3.798,26/10/2011,08:56:49,P0595-105
007-000000595,27,7,Department of Defense,DEFENSE INFORMATION SYSTEM NETWORK,2594,P0595-106,ENHANCED PENTAGON CAPABILITY / SURVIVABLE EMERGENCY CONFERENCING NETWORK (EPC/SECN) (LE4D/0300-0100),"Enhanced Pentagon Capability (EPC)/Survivable Emergency Conferencing Network (SECN) are two related Nuclear Command and Control (C2) secure voice systems. They support senior leadership secure voice conferencing, using survivable SATCOM links (DSCS/MILSTAR) and HEMP protected secure voice conferencing switches. This project supports the sustainment of the switching systems and interfaces, but not the satcom terminals or space segments.",01/10/2008,30/09/2017,,,16.011,0,0,0,0,10.987,10.987,26/10/2011,08:56:49,P0595-106
007-000000595,27,7,Department of Defense,DEFENSE INFORMATION SYSTEM NETWORK,2595,P0595-107,JOINT WORLDWIDE INTELLIGENCE COMMUNICATIONS SYSTEM (JWICS) (LE2M/0300),"JWICS is the Top Secret (TS) Special Compartmented Information (SCI) Wide Area Network that provides Video TeleConferencing (VTC), Voice over Internet Protocol (VoIP) and data services to the DoD, the Intelligence Community (IC), Federal decision makers, warfighters and intelligence analysts worldwide.  JWICS is the network that ties all community SCI networks together into one common fabric.",01/10/2008,30/09/2017,,,112.442,0,0,0,0,18.1,18.1,26/10/2011,08:56:49,P0595-107
007-000000595,27,7,Department of Defense,DEFENSE INFORMATION SYSTEM NETWORK,2596,P0595-108,OPERATIONAL SUPPORT SYSTEMS (OSS) (LEMT/0400),"The Operational Support Systems provide operational and network operating systems that instrument and automate the operations, administration, maintenance and provisioning functions creating a single DISN-wide view for network managers and operators. Collectively, these systems are known as the DISN Operational Support Systems (OSS).",01/10/2008,30/09/2017,,,12.543,0,0,0,0,2.653,2.653,26/10/2011,08:56:49,P0595-108
007-000000613,28,7,Department of Defense,Defense Medical Logistics Standard Support,2598,P0613-101,DMLSS Modules,"DMLSS Module: Development, integration and upgrades.",01/12/2011,31/05/2013,31/05/2013,31/05/2013,24.88,0,0,0,0,24.879,24.879,30/01/2012,13:41:16,P0613-101
007-000000880,30,7,Department of Defense,GLOBAL BROADCAST SERVICE,2600,P0880-101,SBM DECC Transition,Transitions current GBS broadcast capabilities from current ageing facilities to  Defense Enterprise Computing Centers operated by DISA.,01/10/2008,30/09/2013,,,122.393,-98,-12.17,0,0,24.385,24.385,26/10/2011,08:56:59,P0880-101
007-000000880,30,7,Department of Defense,GLOBAL BROADCAST SERVICE,2601,P0880-102,Receive Suite Activities,Continues development activites for the Rucksack Portable Receive Suite (RPRS) in order to derive a production baseline.   Purchases four qualification units for Transportable Ground Receive Suites (TGRS) and finalizes all training plans and product documentation.,01/10/2010,30/09/2012,,,21.446,-62,-9.72,0,0,14.289,14.289,26/10/2011,08:56:59,P0880-102
007-000000881,31,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2602,P0881-101,GCCS-J Sustainment,"Provide critical and necessary support activities (e.g., maintaining licenses, commercial software updates, installing patches, hardware maintenance, responding to priority Information Assurance Vulnerability Alerts (IAVAs) and critical Software Problem Reports impacting operations, supporting exercises, updating documentation, and maintaining system security certification and accreditation), hardware and software techical refresh for the deployed system.",03/10/2011,30/09/2012,30/09/2012,30/09/2012,70.297,0,0,0,0,70.296,70.296,26/10/2011,08:57:00,P0881-101
007-000000881,31,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2603,P0881-102,GCCS-J Modernization,Modernization of key Joint Command and Control (JC2) capability areas leveraging new technology and revamping processes. Begin transition from use of local stand-alone enclaves to the implementation of Enterprise services.,03/10/2011,30/09/2012,30/09/2012,30/09/2012,32.921,0,0,0,0,32.918,32.918,26/10/2011,08:57:00,P0881-102
007-000000881,31,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2604,P0881-104,JPES Sustainment,"Provide critical and necessary activites (e.g.: software and systems engineering support, modernization, integration, testing, operational support and technical services necessary to analyze, design, test, certify & accredit, deploy and maintain quality software) for the Joint Planning and Execution Services (JPES) applications.",29/03/2011,09/09/2012,09/09/2012,28/09/2012,13.734,-19,-4.36,3.168,23.07,13.733,10.565,20/07/2012,06:14:24,P0881-104
007-000000881,31,7,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM- JOINT,2605,P0881-106,JPES Development,Joint Planning and Execution System (JPES) serves as the material developer of APEX enterprise capabilites in accordance with the Adapative Planning Roadmap II in support of the Joint Planning and Execution Community (JPEC) enterprise capabilities to include complete lifecycle support for development and/or integration of capabilities against validated requirements and net-centric Command and Control (C2) architecture.,29/03/2011,10/09/2012,10/09/2012,28/09/2012,32.987,-18,-3.39,18.616,56.43,32.987,14.371,20/07/2012,06:14:24,P0881-106
007-000000884,33,7,Department of Defense,GLOBAL DECISION SUPPORT SYSTEM,2607,P0884-101,Global Decision Support System (GDSS),"Software modifications required to keep pace with external interface changes, software obsolescence (i.e. Oracle and other COTS product versions no longer supported), downward-direct requirements to meet corporate requirements, and security mandates.  Also includes software fixes and compatibility.",11/02/2001,30/09/2021,,,825.103,0,0,4.529,19.14,23.661,19.132,15/03/2012,12:31:59,P0884-101
007-000000884,33,7,Department of Defense,GLOBAL DECISION SUPPORT SYSTEM,2608,P0884-102,Aviation Operational Risk Management (AvORM),"AvORM will provide Mobility Air Forces (MAF) aircrews, planners, schedulers, flight managers, and senior leaders predictive analysis tools to mitigate aircrew and mission risks, and reverse the growing safety incidents in worldwide flight operations.  Risks include human fatigue, flight parameters (e.g., weather, airfield conditions/restrictions), planning factors (e.g., Notices to Airmans (NOTAMS), hazardous airspace), and mission factors (e.g., hazardous cargo, tactical navigation, air refueling, aeromedical evacuation).",19/09/2010,19/09/2014,30/09/2012,30/09/2012,4.668,0,0,-0.135,-4.87,2.771,2.906,30/01/2012,13:41:17,P0884-102
007-000000884,33,7,Department of Defense,GLOBAL DECISION SUPPORT SYSTEM,2609,P0884-103,Global Aircrew Scheduling (GAS),"Global Aircrew Scheduling provides unit-level scheduling capability and flight operations, resource allocation, and mission execution data.",01/04/2011,30/09/2018,,,57.403,0,0,1.552,17.39,8.925,7.373,15/03/2012,12:31:59,P0884-103
007-000000884,33,7,Department of Defense,GLOBAL DECISION SUPPORT SYSTEM,2610,P0884-104,Global Aircrew Management (GAM),Global Aircrew Management development provides tracking of crew members; reduces time/effort and enhances accuracy of MAF aircrew allocation and management.,01/04/2011,30/09/2018,,,70.052,0,0,1.227,9.12,13.461,12.234,15/03/2012,12:31:59,P0884-104
007-000000884,33,7,Department of Defense,GLOBAL DECISION SUPPORT SYSTEM,2611,P0884-105,Dynamic Mission Replanning (DMR),Dynamic Mission Replanning development tool synchronizing mobility missions in real time.,01/04/2011,30/09/2018,,,123.878,0,0,1.762,10.04,17.544,15.782,15/03/2012,12:31:59,P0884-105
007-000001046,34,7,Department of Defense,Air and Space Operations Center - Weapon System,2623,P1046-102,AOC 10.1,Increment 10.1 development/fielding has been provided through follow-on delivery orders providing standardization and upgrades to the infrastructure thru recurring events.  This will continue on as an organic task but on a decreasing level as Increment 10.2 is developed.,15/12/2003,30/09/2012,30/09/2012,30/09/2012,754.895,0,0,-42.105,-5.58,754.895,797,26/10/2011,08:57:07,P1046-102
007-000001046,34,7,Department of Defense,Air and Space Operations Center - Weapon System,2624,P1046-103,AOC 10.2,"Increment 10.2 Development/Fielding provides for the development/integration of net-centric infrastructure, and the integration of selected 3rd party applications onto the infrastructure to meet Inc 10.2 requirements.",12/09/2007,30/09/2017,30/09/2017,30/09/2017,485.476,0,0,0,0,485.476,485.476,26/10/2011,08:57:07,P1046-103
007-000000882,48,7,Department of Defense,GLOBAL COMBAT SUPPORT SYSTEM-JOINT,2606,P0882-101,GCSS-J Increment 7,"The Global Combat Support System-Joint (GCSS-J) is an information technology (IT) application that continues to transition to a service oriented architecture to deliver asset visibility to the joint logistician (i.e., essential capabilities, functions, activities, and tasks necessary to sustain all elements of operating forces in theater at all levels), and facilitates information interoperability across and between Combat Support and Command and Control functions.  In conjunction with other Global Information Grid elements including GCCS-J, Defense Information Systems Network, Computing Services, and Combatant Commands/Services/Agencies information architectures, GCSS-J will provide the IT capabilities required to move and sustain joint forces throughout the spectrum of military operations.GCSS-J significantly increases access to information stored in disparate databases via a single sign on, web portal application, using a Secret Internet Protocol Router Network (SIPRNet) Public Key Infrastructure certificate.  The GCSS-J infrastructure provides secure web-access, discrete user account administration, data mediation, and enterprise management features that facilitate delivery of capabilities to meet the vision of a net-centric architecture, as well as the integration of information across combat support functional areas.  GCSS-J uses web-based technology to meet the tenets of Joint Publication 4-0, Joint Logistics; GCSS-J provides the IT capability to plan, execute, and control joint logistics operations.",10/01/2008,31/03/2014,08/11/2012,08/11/2012,227.643,0,0,0,0,39.71,39.71,30/01/2012,13:34:48,P0882-101
007-000001911,50,7,Department of Defense,Theater Battle Management Core System,2665,P1911-104,TBMCS UL Increment 2,Development Delivery Order.,27/02/2009,01/11/2012,31/01/2012,12/07/2012,2.5,-213,-104.93,-0.15,-6,2.5,2.65,26/10/2011,09:10:31,P1911-104
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,2666,P1913-101,Medical Situation Awareness Technology (MSAT)/Theater Medical Data Store (TMDS) development and integration,"TMIP-J provides information at the point of care and to the Theater tactical and strategic decision makers through efficient, reliable data capture, and data transmission to a centralized Theater database.  TMIP-J fulfills the premise of Train as you fight through the integration of components which are identical or analogous to systems from the sustaining base. Development and Integration of MSAT/TMDS into TMIP-J as part of the Increment 2 Release 2 interface.  MSAT will link together information that encompasses disease and non-battle related injuries; physical and psychological trauma; patient tracking; chemical and biological threats; environmental and occupational health; intelligence; Command and Control data; personnel; unit locations and weather.Theater Medical Data Store (TMDS) serves as the authoritative Theater database for collecting, distributing and viewing Service members'' pertinent medical information. It provides one central location for healthcare providers to view Theater medical data. TMDS updates the AHLTA Clinical Data Repository (CDR), where all Service members'' Electronic Health Records (EHR) reside. This information is also made available to the VA through an interface known as Bidirectional Health Information Exchange-Theater (BHIE-T). Using TMDS, medical staff can view airlifted critically injured patients'' history, progress notes, laboratory, drug and radiological history before arrival at their next location. TMDS supports the collection of information from first responder, battalion aid station and Theater hospitals and makes the information readable in Theater and back to OCONUS and CONUS hospitals and ultimately to the CDR and to the VA.",30/09/2010,29/09/2012,29/09/2012,29/09/2012,14.596,0,0,0,0,14.596,14.596,20/07/2012,06:14:25,P1913-101
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,2667,P1913-102,TMIP Composite Health Care System Cache (TC2),"TC2 development and integration effort as part of the Increment 2 Release 2 interface. TC2 provides documentation for inpatient healthcare and ancillary services order-entry and result-reporting in the deployed environment. TC2 provides inpatient management, laboratory, radiology and pharmacy ordering capabilities and enables users to schedule outpatient clinic and radiology procedures.TC2 uses the TMIP Framework for transmission of data to the Theater Medical Data Store (TMDS).",01/10/2011,30/09/2012,30/09/2012,30/09/2012,0.546,0,0,0,0,0.546,0.546,01/06/2012,10:50:34,P1913-102
007-000001913,51,7,Department of Defense,THEATER MEDICAL INFORMATION PROGRAM-Joint,2668,P1913-103,Theater Integration,"Continue integration associated with TMIP Increment 2 designs, migrate from Increment 2 Release 1 to Increment 2 Release 2 releases. The TMIP Framework (TF) shall include net-centric, non-net-centric, austere or disconnected commo on hardware in Theater and shall work with VA products and EMR systems. TMIP-J Increment 2 Block 2 (I2 R2) provides information management/information technology (IM/IT) for the Military's deployed medical business practice and includes systems and applications that support related aspects of Theater care that include medical supplies, equipment, healthcare documentation, patient visibility, and medical surveillance.",01/10/2010,30/09/2012,30/09/2012,30/09/2012,17.695,0,0,0,0,17.695,17.695,20/07/2012,06:14:25,P1913-103
007-000001794,52,7,Department of Defense,STANDARD PROCUREMENT SYSTEM,2662,P1794-101,Service Release 14,Service Release14 provides technology refresh and application updates to the Standard Procurement System including support for:-  Unit price changes when exchange rate is changed in a CLIN (Phase 2)-  ACRN Renumbering when using the Attach Function -  Windows Vista/7-  Microsoft Server 2008 OS/PD2 Client Compatibility -  webMethods Ver. 8 -  Lock CLIN Numbering in Award Modification -  EDA IDX File (ACO Mods) -  DFARS 204.7104-1 -  Adapter Award Data Elements for SF 1449.,31/05/2011,29/03/2012,29/03/2012,29/03/2012,1.415,-155,-51.16,0,0,1.415,1.415,26/10/2011,09:10:28,P1794-101
007-000001794,52,7,Department of Defense,STANDARD PROCUREMENT SYSTEM,2663,P1794-103,Product Sustainment 2012,"Develop, test and deploy critical fixes, technology refreshes and IA upgrades of post service releases based on identified user requirements and policy/regulation changes. This capability is anticipated to continue for the SPS program while in its sustainment mode thereby being responsive to the performance needs of its 27,000 users world-wide.",01/01/2012,31/12/2012,,,2.595,0,0,0,0,2.595,2.595,26/10/2011,09:10:28,P1794-103
007-000002180,53,7,Department of Defense,INSTALLATION INFORMATION INFRASTRUCTURE MODERNIZATION PROGRAM,2671,P2180-101,Installation Information Infrastructure Modernization Program,"The Installation Information Infrastructure Modernization Program (I3MP) connects the Joint Warfighter through modernization and lifecycle management of the information infrastructure, to support the Global Network Enterprise Construct (GNEC).  I3MP modernizes installation infrastructure by using a standard architecture and common suite of equipment.  The program seamlessly integrates Access, Distribution, Core, Secure, and Transport Infrastructure Sub-systems to enable voice, video, and data services into a single cohesive system, and establishes, extends, and/or refreshes the connections and technologies that make up a Communications Infrastructure System (CoinS) and support an installation's Campus Area Network (iCAN).  I3MP delivers a seamless system by providing the cable plant, switches, security devices, and network management capabilities that comprise a standard digital network, allowing people and computers on an installation to connect to each other and the installation network to connect to the Department of Defense global network, known as the Global Information Grid (GIG).  The infrastructures are capable of supporting Defense Reform Initiatives, the GIG-Bandwidth Expansion, Voice over Internet Protocol (VoIP), and Unified Capabilities (UC) initiatives and are critical for both reach back and power projection of the digital division and employment of advanced technology supporting agile combat forces.",01/10/2000,30/09/2018,30/09/2012,30/09/2012,495.518,0,0,0,0,480.261,480.261,29/02/2012,09:53:43,P2180-101
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",2672,P2213-101,Collapse Development and Integration,Development and integration tied to Battle Command Collapse strategy for various Mission Command products.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,35.566,0,0,-12.598,-3404.86,0.37,12.968,04/01/2012,13:31:41,P2213-101
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",2673,P2213-102,Joint Convergence Development,Continuing development of MIP enables Coalition commanders to exchange digital battlefield information among countries from Corps to Company level.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,3.899,0,0,0,0,3.899,3.899,04/01/2012,13:31:41,P2213-102
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",2674,P2213-103,BCCS Software Development and Technical Support,"Continuation of development of BCCS architecture to provide the standardized Mission Command infrastructure including; Information Services Infrastructure (ISI), ABCS Interoperability Services, and Collaboration Services.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,5.394,0,0,0,0,5.394,5.394,04/01/2012,13:31:41,P2213-103
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",2675,P2213-104,CPOF Development,"Continuing development of Command Post of the Future, providing an array of real-time situational awareness tools to support decision-making, planning, rehearsal, and execution management.  Development of CPOF Third Generation (3G) will enable full-spectrum operations, global scalability and seamless transition between connected and disconnected operations.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,16.571,0,0,0,0,16.571,16.571,04/01/2012,13:31:42,P2213-104
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",2676,P2213-105,Test and Evaluation,Continuing government and contractor test and evaluation and associated support for Tactical Mission Command baseline.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,0.36,0,0,0,0,0.36,0.36,04/01/2012,13:31:42,P2213-105
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",2677,P2213-106,Program Management Support,Management and associated support for Tactical Mission Command development efforts.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,3.212,0,0,0,0,3.212,3.212,04/01/2012,13:31:42,P2213-106
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",2678,P2213-107,Hardware Procurement,Workstation and BCCS Server hardware procurement for initial and technical refresh of units.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,18.032,0,0,0,0,18.032,18.032,04/01/2012,13:31:42,P2213-107
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",2679,P2213-108,Software Licenses and Support,"Initial software license costs as well as maintenance licensing, including associated software support.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,24.563,0,0,0,0,24.563,24.563,04/01/2012,13:31:42,P2213-108
007-000002213,54,7,Department of Defense,"MANEUVER CONTROL SYSTEM, V6.4",2680,P2213-109,Field Support,"Field Support Representatives, Senior Trainers and other fielding support efforts in support of Tactical Mission Command suite of products.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,28.34,0,0,-0.01,-0.04,28.34,28.35,04/01/2012,13:31:42,P2213-109
